SCH_DEP_DATE,cargo_diff
2019-03-23,577132.6900000004
2019-03-24,-64688.79000000004
2019-03-25,-1053140.7300000004
2019-03-26,512802.6699999999
2019-03-27,461819.88999999966
2019-03-28,-470446.0999999996
2019-03-29,-80670.47999999952
2019-03-30,762187.9899999993
2019-03-31,-249045.00999999978
2019-04-01,-597010.0300000003
2019-04-02,140372.85000000056
2019-04-03,374760.81999999937
2019-04-04,112139.16000000015
2019-04-05,-362107.53000000026
2019-04-06,466971.6900000004
2019-04-07,-215728.46999999974
2019-04-08,-869204.2000000002
2019-04-09,258418.0700000003
2019-04-10,733942.5499999998
2019-04-11,-635433.6299999999
2019-04-12,317018.5800000001
2019-04-13,187603.01999999955
2019-04-14,-237951.89999999944
2019-04-15,-955326.5600000005
2019-04-16,-449128.11000000034
2019-04-17,176104.52000000048
2019-04-18,186542.36000000034
2019-04-19,-133133.90000000037
2019-04-20,-178174.6299999999
2019-04-21,-100993.45999999996
2019-04-22,-532612.5700000003
2019-04-23,-489765.89999999944
2019-04-24,605276.3899999997
2019-04-25,619158.3200000003
2019-04-26,-184235.73000000045
2019-04-27,555319.6699999999
2019-04-28,-260515.74000000022
2019-04-29,-507343.4399999995
2019-04-30,46674.75
2019-05-01,261225.88999999966
2019-05-02,-64137.049999999814
2019-05-03,257412.63999999966
2019-05-04,19186.62000000011
2019-05-05,54379.37000000011
2019-05-06,-981291.0700000003
2019-05-07,488662.4400000004
2019-05-08,408508.0200000005
2019-05-09,61064.889999999665
2019-05-10,158482.2000000002
2019-05-11,521124.9199999999
2019-05-12,-468862.0200000005
2019-05-13,-547821.2000000002
2019-05-14,57768.419999999925
2019-05-15,353297.43000000063
2019-05-16,19105.43999999948
2019-05-17,-281200.56999999937
2019-05-18,760131.8399999999
2019-05-19,-582733.0300000003
2019-05-20,-469395.0499999998
2019-05-21,41193.049999999814
2019-05-22,278076.4400000004
2019-05-23,415094.39999999944
2019-05-24,-500591.6299999999
2019-05-25,617132.2400000002
2019-05-26,-531447.3499999996
2019-05-27,-357496.22000000067
2019-05-28,150116.3200000003
2019-05-29,-34520.389999999665
2019-05-30,379407.3099999996
2019-05-31,532131.4299999997
2019-06-01,582906.1800000006
2019-06-02,-588430.3500000006
2019-06-03,-1315539.6499999994
2019-06-04,-224832.0499999998
2019-06-05,199194.57999999914
2019-06-06,-227783.44999999925
2019-06-07,-114798.69000000041
2019-06-08,753683.9100000001
2019-06-09,-59824.03000000026
2019-06-10,-883011.8599999994
2019-06-11,117791.09999999963
2019-06-12,657005.2199999997
2019-06-13,382390.98000000045
2019-06-14,281481.70999999996
2019-06-15,388865.76999999955
