SCH_DEP_DATE,CHG_WT_BU_sum,cargo_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17
2021-06-21,4890041.294,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973,662037.3870000001,354304.534,473686.7759999996,-1303278.6109999996,-740784.1140000001,668036.4280000003,301652.43099999987
2021-06-22,5401943.264,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973,662037.3870000001,354304.534,473686.7759999996,-1303278.6109999996,-740784.1140000001,668036.4280000003
2021-06-23,6190856.78,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973,662037.3870000001,354304.534,473686.7759999996,-1303278.6109999996,-740784.1140000001
2021-06-24,6255293.264,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973,662037.3870000001,354304.534,473686.7759999996,-1303278.6109999996
2021-06-25,6018361.551,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973,662037.3870000001,354304.534,473686.7759999996
2021-06-26,6828249.851,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973,662037.3870000001,354304.534
2021-06-27,6261974.018,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973,662037.3870000001
2021-06-28,4738270.66,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001,-514432.73699999973
2021-06-29,5475819.207,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065,914892.3530000001
2021-06-30,5754864.903,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998,-370487.77100000065
2021-07-01,6169431.398,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003,-1851689.6069999998
2021-07-02,5772087.593,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996,807331.4050000003
2021-07-03,6399373.798,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045,677780.3269999996
2021-07-04,6390981.667,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365,182123.48000000045
2021-07-05,5050064.66,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999,-4464.417000000365
2021-07-06,5294147.943,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034,286779.2949999999
2021-07-07,5822390.432,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003,260572.23500000034
2021-07-08,6447753.34,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067,-1677617.8200000003
2021-07-09,6135812.263,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998,511901.97000000067
2021-07-10,6328941.282,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017,788913.5159999998
2021-07-11,6470816.938,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045,64436.48400000017
2021-07-12,5070656.603,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998,-236931.71300000045
2021-07-13,5858476.218,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996,809888.2999999998
2021-07-14,6035607.748,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358,-566275.8329999996
2021-07-15,6265600.663,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003,-1523703.358
2021-07-16,6237331.766,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953,737548.5470000003
2021-07-17,6402554.898,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001,279045.69599999953
2021-07-18,6568710.424,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997,414566.4950000001
2021-07-19,5179721.929,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001,-397343.8049999997
2021-07-20,5061817.661,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052,627286.2050000001
2021-07-21,5844529.792,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002,-8392.131000000052
2021-07-22,5406509.737,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982,-1340917.0070000002
