Flight_No,org,dst,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,Ratio,count,OPN_SUFX,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,ISO_CODE,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,EST_WT_BU,EST_VOL_BU
6600,AKL,SIN,2018-01-09T00:00:00.000Z,22187,72,22275,,4,,77XF,F,F,102500,550,102500,550,,AU,,,,
6600,AKL,SIN,2021-04-20T00:00:00.000Z,19790,92.04063,22722,,21,,,,,,,,,,,,,,
6600,MEX,DWC,2021-04-05T00:00:00.000Z,12259,68.193046,12492,,14,,77WE,J,H,40000,220,40000,220,,KW,17000,65,0,0
6600,MUC,DWC,2018-09-09T00:00:00.000Z,10167,52.230549,11049.5,,17,,388L,J,J,15000,60,15000,60,,GB,30361.93,78.747246,11113.3,13.852096
6600,MUC,DWC,2019-08-15T00:00:00.000Z,2624,16.303707,2955,,11,,388J,J,J,8000,40,8000,40,,GB,15082.09,51.379521,1323.53,1.697784
6600,MUC,DWC,2019-09-10T00:00:00.000Z,8591.7,54.065744,10031.5,,10,,388J,J,J,8000,40,8500,65,,GB,41082.6,84.428743,25790.7,32.279641
6600,MUC,DWC,2019-10-10T00:00:00.000Z,5656,38.876696,7250.5,,9,,388J,J,J,8000,40,8000,40,,GB,25205.71,69.056407,9150.32,10.720479
6600,LIS,DWC,2018-01-24T00:00:00.000Z,12673.7,45.366751,12749.7,,17,,77WEJ,J,J,17000,90,22000,100,,TR,17200.07,86.487186,0,0
6600,PHX,DWC,2020-02-01T00:00:00.000Z,5736.9,41.216916,7775.5,,19,,77WEN,J,J,10000,90,17047.91,91.77,,US,17047.91,71.771018,5126.88,9.622036
6600,PHX,DWC,2021-08-03T00:00:00.000Z,1707.5,19.236367,3453,,7,,77WEQ,J,J,20000,100,30752.32,104.801916,,US,30752.32,104.801916,25372.2,51.330539
