CNTRY_MCY_ID,CNTRY_OWNER_CARR_CODE,CNTRY_CNTRY_CODE,CNTRY_COMMNTY_CODE,CNTRY_RGN_ID,CNTRY_INACTIVE,CNTRY_DTL_ID,CNTRY_CREATED_DATE,CNTRY_CREATED_BY,CNTRY_MODIFIED_DATE,CNTRY_MODIFIED_BY,CNTRY_ISO_CNTRY_CODE,CNTRY_GST_APPL_IND,CNTRY_TAX_ID_LENGTH,CNTRY_CMRCL_RGN,CTY_CCY_ID,CTY_OWNR_CARR_CODE,CTY_CTY_CODE,CTY_CTY_NAME,CTY_MTY_ID,CTY_CITY_TYP,CTY_OFFLN_CTY_IND,CTY_REPORTING_CITY,CTY_SALES_LEVEL,CTY_ADRS_ID
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,16176,EK,ELI,ELIM,48,,N,,,
398,EK,GL,,68,N,1480684,,,2006-04-20T12:08:53.000,SYS_TEMP,,,,,25110,EK,THU,"THULE, GREENLAND",48,,N,,,
273,EK,AU,,74,N,1480657,2005-10-18T09:50:16.000,S140475,2006-04-20T11:41:31.000,SYS_TEMP,,,,FEA,26736,EK,AYD,"ALROY DOWNS, AUSTRALIA",48,,N,,,
273,EK,AU,,74,N,1480657,2005-10-18T09:50:16.000,S140475,2006-04-20T11:41:31.000,SYS_TEMP,,,,FEA,19240,EK,LHG,"LIGHTNING RIDGE, NSW AUST",48,,N,,,
458,EK,PG,,74,N,1480762,,,2006-04-20T12:26:54.000,SYS_TEMP,,,,,18714,EK,KJU,"KAMIRABA, PAPUA NEW GUINE",48,,N,,,
278,EK,DE,,71,N,1480666,2005-10-18T09:52:23.000,S140475,2006-04-20T11:57:32.000,SYS_TEMP,,,,EUR,16311,EK,ZRB,FRA MAIN TRAIN ST,48,,N,,,
278,EK,DE,,71,N,1480666,2005-10-18T09:52:23.000,S140475,2006-04-20T11:57:32.000,SYS_TEMP,,,,EUR,17782,EK,JUI,"JUIST, GERMANY",48,,N,,,
287,EK,ID,,76,N,1480689,2005-10-18T09:54:39.000,S140475,2006-04-20T12:11:40.000,SYS_TEMP,,,,WSE,23558,EK,SAE,"SANGI, INDONESIA",48,,N,,,
330,EK,BR,,68,N,1480660,2005-10-20T09:01:21.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,AMR,14866,EK,AIR,"ARIPUANA, BRAZIL",48,,N,,,
330,EK,BR,,68,N,1480660,2005-10-20T09:01:21.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,AMR,15682,EK,GJM,"GUAJARA-MIRIM, BRAZIL",48,,N,,,
330,EK,BR,,68,N,1480660,2005-10-20T09:01:21.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,AMR,27544,EK,LEP,LEOPOLDINA,48,,N,,,
330,EK,BR,,68,N,1480660,2005-10-20T09:01:21.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,AMR,22166,EK,BEL,BELEM,48,,N,,,
487,EK,TO,,76,N,1480865,,,2006-04-20T12:44:58.000,SYS_TEMP,,,,,25395,EK,TBU,TONGATAPU,48,,N,,,
274,EK,BD,,76,N,1480660,2005-10-18T09:51:06.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,WSE,21776,EK,SPD,"SAIDPUR, BANGLADESH",48,,N,,,
412,EK,IR,,69,N,1480689,,,2006-04-20T12:11:40.000,SYS_TEMP,,,,WSE,30610,EK,GBT,Gorgan,48,,N,,,
369,EK,CI,,70,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,AFR,22070,EK,ZSS,"SASSANDRA, IVORY COAST",48,,N,,,
447,EK,NA,,70,N,1480743,,,2006-04-20T12:22:28.000,SYS_TEMP,,,,,28665,EK,WDH,WINDHOEK ,48,,N,,,
459,EK,PL,,71,N,1480762,,,2006-04-20T12:26:54.000,SYS_TEMP,,,,EUR,26545,EK,IEG,"ZIELONA GORA, POLAND",48,,N,,,
499,EK,VN,,76,N,1480887,,,2006-04-20T12:48:54.000,SYS_TEMP,,,,FEA,30951,EK,VCS,Con Dao Island,48,,N,,,
319,EK,ZA,,70,N,1480902,2005-10-18T10:01:41.000,S140475,2006-04-20T12:52:03.000,SYS_TEMP,,,,AFR,25496,EK,ZEC,"SECUNDA, SOUTH AFRICA",48,,N,,,
319,EK,ZA,,70,N,1480902,2005-10-18T10:01:41.000,S140475,2006-04-20T12:52:03.000,SYS_TEMP,,,,AFR,22566,EK,NTY,"PILANESBERG, SOUTH AFRICA",48,,N,,,
328,EK,AR,,68,N,1480657,2005-10-20T09:00:55.000,S140475,2006-04-20T11:41:30.000,SYS_TEMP,,,,AMR,29309,EK,TUC,"TUCUMAN, ARGENTINA",48,,N,,,
