,Unnamed: 0,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,ORG_AIRPORT_CODE,ORG_AIRPORT_NAME,ORG_CNTRY_NAME,ORG_REGION_NAME,DST_AIRPORT_CODE,DST_AIRPORT_NAME,DST_CNTRY_NAME,DST_REGION_NAME,org_hday_flg,dst_hday_flg,EST_CHG_WT,SCH_DEP_DAY,SCH_DEP_MONTH,SCH_DEP_YEAR,Flight_No,ISO_CODE,org,dst,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,CHG_WT_BU_PREDICT
1627,1627,2018-04-28,18309.0,79.11,18507.0,15000.0,60.0,542000.0,1200.0,0.0,19590.62,76.230419,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,19999.58158526108,28,4,2018,1,9,13,5,12,3,5,
6263,6263,2018-04-03,6823.0,30.0,6823.0,102500.0,550.0,102500.0,550.0,0.0,0.0,0.0,AKL,International,NEW ZEALAND,ANZ,SIN,Changi,SINGAPORE,FAR EAST,0,0,0.0,3,4,2018,1,3,2,14,20,2,2,
1522,1522,2018-07-22,5484.0,27.555071,5484.0,20000.0,120.0,20000.0,120.0,0.0,22205.03,93.602395,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,22732.4427914546,22,7,2018,1,14,4,5,16,3,5,
8781,8781,2020-07-26,5686.9,34.833587,6552.0,20000.0,100.0,30000.0,150.0,0.0,17000.0,65.0,KWI,International,KUWAIT,"GCC, MIDDLE EAST & IRAN",DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,18883.24540134658,26,7,2020,1,8,8,5,18,3,4,
358,358,2020-11-04,27785.0,107.614824,28160.0,20000.0,100.0,46198.0,122.874251,0.0,46198.0,122.874251,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,47162.40068338273,4,11,2020,1,9,13,5,18,3,5,
138,138,2018-10-02,9532.69,51.536441,11223.76,15000.0,60.0,20749.36,62.0,0.0,20749.36,72.493174,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,23294.315258664697,2,10,2018,1,2,6,10,4,3,5,
299,299,2019-03-08,28678.0,109.220001,28779.0,20000.0,100.0,38500.0,200.0,0.0,32538.07,111.557305,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",1,1,33217.31448989036,8,3,2019,1,9,13,5,18,3,5,
1556,1556,2020-08-13,4515.54,21.518845,4710.45,20000.0,100.0,46576.49,123.124431,0.0,46576.49,123.124431,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,52289.20032724111,13,8,2020,1,2,6,10,18,3,5,
5099,5099,2020-11-20,5502.2,17.705454,5517.0,20000.0,100.0,32874.02,98.659641,0.0,32874.02,98.659641,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,37247.86140683003,20,11,2020,1,2,6,16,18,3,5,
382,382,2019-05-30,8448.76,61.144399,11253.78,15000.0,60.0,33154.27,98.088024,0.0,33154.27,98.088024,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,37220.71512330448,30,5,2019,1,2,6,10,4,3,5,
