Region,Month,From_date,to_date,Holiday,Country
Europe & Russia,May-19,01/05/2019,01/05/2019, Labour Day ," Austria,Belgium,Czech republic, Croatia, Cyprus, France, Greece, Germany, Poland, Hungary, Italy, Malta, Norway, Netherlands, Portugal, Romania, Russia, Spain, Sweden, Turkey "
Europe & Russia,May-19,01/05/2019,01/05/2019, Solidarity Day , Turkey 
Europe & Russia,May-19,03/05/2019,03/05/2019, Constitution Day , Poland 
Europe & Russia,May-19,04/05/2019,04/05/2019, National Remembrance Day , Netherlands 
Europe & Russia,May-19,05/05/2019,05/05/2019, Liberation day , Netherlands 
Europe & Russia,May-19,06/05/2019,06/05/2019, May Bank Holiday , UK & Ireland 
Europe & Russia,May-19,08/05/2019,08/05/2019, V-E Day , France 
Europe & Russia,May-19,08/05/2019,08/05/2019, Liberation day , Czech Republic 
Europe & Russia,May-19,09/05/2019,09/05/2019, Victory Day , Russia 
Europe & Russia,May-19,17/05/2019,17/05/2019, General Prayer Day , Denmark 
Europe & Russia,May-19,17/05/2019,17/05/2019, Constitution Day , Norway 
Europe & Russia,May-19,19/05/2019,19/05/2019, Commemoration of Ataturk , Turkey 
Europe & Russia,May-19,27/05/2019,27/05/2019, Spring Bank Holiday , UK & Ireland 
Europe & Russia,May-19,30/05/2019,30/05/2019, Ascension Day ," Austria, Belgium, Denmark, France, Finland, Germany, Netherlands, Norway, Sweden, Switzerland "
Far East & Australia,May-19,01/05/2019,01/05/2019, Labour Day ," Malaysia, Myanmar, Philippines, Thailand, China, Cambodia, Hong kong, Singapore "
Far East & Australia,May-19,03/05/2019,03/05/2019, Constitution Day , Japan 
Far East & Australia,May-19,04/05/2019,04/05/2019, Greenery Day , Japan 
Far East & Australia,May-19,05/05/2019,05/05/2019, Children's Day , Japan & South Korea 
Far East & Australia,May-19,06/05/2019,06/05/2019, Labour Day , Australia(Northern territory) 
Far East & Australia,May-19,12/05/2019,12/05/2019, Mother's Day , Australia 
Far East & Australia,May-19,12/05/2019,12/05/2019, Buddha's Birthday ," Hong kong, Singapore & South Korea "
Far East & Australia,May-19,12/05/2019,12/05/2019, Wesak Bucha/Buddha Purnima ," Singapore, Malaysia, Cambodia "
Far East & Australia,May-19,20/05/2019,20/05/2019, Day of Remembrance , Cambodia 
Far East & Australia,May-19,22/05/2019,22/05/2019, Royal Plowing Ceremony Day , Cambodia 
Far East & Australia,May-19,22/05/2019,22/05/2019, Nuzul Al Quran , Malaysia 
MIddle East & GCC,May-19,01/05/2019,01/05/2019, Labour Day ," Lebanon, Bahrain, Jordan "
MIddle East & GCC,May-19,12/05/2019,12/05/2019, Independence Day/Liberation Day ," Jordan,Lebanon "
West -  South East Asia & Iran,May-19,01/05/2019,01/05/2019, Labour Day ," Maldives, Pakistan, Bangladesh, India, Indonesia "
West -  South East Asia & Iran,May-19,26/05/2019,26/05/2019, Martyrdom of Imam Ali , Iran 
West -  South East Asia & Iran,May-19,29/05/2019,29/05/2019, Republic day , Nepal 
West -  South East Asia & Iran,May-19,30/05/2019,30/05/2019, Ascension Day , Indonesia 
Africa,Jun-19,01/06/2019,01/06/2019, Madraka Day , Kenya 
Africa,Jun-19,03/06/2019,03/06/2019, Martyr's Day , Uganda 
Africa,Jun-19,05/06/2019,05/06/2019, Liberation Day , Seychelles 
Africa,Jun-19,05/06/2019,05/06/2019, Korite , Senegal 
Africa,Jun-19,09/06/2019,09/06/2019, Whit Sunday/Monday , Cote de Ivoire 
Africa,Jun-19,09/06/2019,09/06/2019, National Heroes Day , Uganda 
Africa,Jun-19,12/06/2019,12/06/2019, Democracy Day , Nigeria 
Africa,Jun-19,18/06/2019,18/06/2019, Constitution Day , Seychelles 
Africa,Jun-19,25/06/2019,25/06/2019, Independence day , Mozambique 
Africa,Jun-19,29/06/2019,29/06/2019, National Day , Seychelles 
Africa,Jun-19,30/06/2019,30/06/2019, Revolution Day , Sudan 
Americas,Jun-19,17/06/2019,17/06/2019, Martin Miguel de Guemes Day , Argentina 
Americas,Jun-19,20/06/2019,20/06/2019, Corpus Christi ," Brazil, Venezuela "
Americas,Jun-19,20/06/2019,20/06/2019, National Flag Day , Argentina 
Americas,Jun-19,29/06/2019,29/06/2019, St Peter & St Pauls Day , Chile 
Europe & Russia,Jun-19,02/06/2019,02/06/2019, Republic day , Italy 
Europe & Russia,Jun-19,03/06/2019,03/06/2019, Bank Holiday , Ireland 
Europe & Russia,Jun-19,05/06/2019,05/06/2019, Constitution Day , Denmark 
Europe & Russia,Jun-19,06/06/2019,06/06/2019, National Day , Sweden 
Europe & Russia,Jun-19,07/06/2019,07/06/2019, National Day , Malta 
Europe & Russia,Jun-19,10/06/2019,10/06/2019, Portugal Day , Portugal 
Europe & Russia,Jun-19,12/06/2019,12/06/2019, National Day , Russia 
Europe & Russia,Jun-19,13/06/2019,13/06/2019, Feast of St. Anthony , Portugal 
Europe & Russia,Jun-19,17/06/2019,17/06/2019, Orthodox Whit Monday ," Cyprus, Greece "
Europe & Russia,Jun-19,20/06/2019,20/06/2019, Corpus Christi ," Austria, Croatia, Germany, Poland, Portugal "
Europe & Russia,Jun-19,22/06/2019,22/06/2019, Anti Fascist struggle day , Croatia 
Europe & Russia,Jun-19,22/06/2019,22/06/2019, Midsummer Day eve , Sweden & Finland 
Europe & Russia,Jun-19,25/06/2019,25/06/2019, State Holiday  , Croatia 
Europe & Russia,Jun-19,28/06/2019,28/06/2019, Constitution Day , Ukraine 
Europe & Russia,Jun-19,29/06/2019,29/06/2019, St Peter & St Pauls Day , Malta 
Far East & Australia,Jun-19,03/06/2019,03/06/2019, Queen's birthday , New Zealand 
Far East & Australia,Jun-19,06/06/2019,06/06/2019, Memorial Day , South Korea 
Far East & Australia,Jun-19,10/06/2019,10/06/2019, Queen's birthday , Australia (Except QLD & WA) 
Far East & Australia,Jun-19,12/06/2019,12/06/2019, Independence Day , Philippines 
Far East & Australia,Jun-19,18/06/2019,18/06/2019, King's mother's birthday , Cambodia 
West -  South East Asia & Iran,Jun-19,04/06/2019,04/06/2019, Demise of Imam Khomeini , Iran 
West -  South East Asia & Iran,Jun-19,05/06/2019,05/06/2019, Khordad national uprising , Iran 
West -  South East Asia & Iran,Jun-19,16/06/2019,16/06/2019, Poson full moon poya , Sri Lanka 
West -  South East Asia & Iran,Jun-19,29/06/2019,29/06/2019, Martyrdom of Imam Sadeq , Iran 
Africa,Jul-19,01/07/2019,01/07/2019, Republic day , Ghana 
Africa,Jul-19,01/07/2019,01/07/2019, Heroes Day , Zambia 
Africa,Jul-19,02/07/2019,02/07/2019, Unity Day , Zambia 
Africa,Jul-19,05/07/2019,05/07/2019, Independence Day , Algeria  
Africa,Jul-19,07/07/2019,07/07/2019, Saba Saba Day , Tanzania 
Africa,Jul-19,23/07/2019,23/07/2019, Revolution Day , Egypt 
Africa,Jul-19,25/07/2019,25/07/2019, Republic day , Tunisia 
Africa,Jul-19,30/07/2019,30/07/2019, Enthronement Day , Morocco 
Americas,Jul-19,01/07/2019,01/07/2019, Day of Sacred Heart , Columbia 
Americas,Jul-19,01/07/2019,01/07/2019, St Peter & St Pauls Day ," Columbia, Chile, Peru & Venezuela "
Americas,Jul-19,01/07/2019,01/07/2019, Canada Day , Canada 
Americas,Jul-19,04/07/2019,04/07/2019, Independence Day , USA 
Americas,Jul-19,05/07/2019,05/07/2019, Independence Day , Venezuela 
Americas,Jul-19,09/07/2019,09/07/2019, Independence Day , Argentina 
Americas,Jul-19,09/07/2019,09/07/2019, State rebellion Day , Brazil 
Americas,Jul-19,16/07/2019,16/07/2019, Our lady of Mt Carmel , Chile 
Americas,Jul-19,18/07/2019,18/07/2019, Constitution Day , Uruguay 
Americas,Jul-19,20/07/2019,20/07/2019, Independence Day , Columbia 
Europe & Russia,Jul-19,05/07/2019,05/07/2019, St Cyril & Methodius day , Czech Republic & Slovakia 
Europe & Russia,Jul-19,06/07/2019,06/07/2019, Jan Hus Day , Czech Republic 
Europe & Russia,Jul-19,12/07/2019,12/07/2019, Battle of Boyne , Ireland 
Europe & Russia,Jul-19,14/07/2019,14/07/2019, Bastille Day , France 
Europe & Russia,Jul-19,21/07/2019,21/07/2019, National Day , Belgium 
Far East & Australia,Jul-19,01/07/2019,01/07/2019, HKSAR Establishment day , Hong Kong 
Far East & Australia,Jul-19,15/07/2019,15/07/2019, Marine Day - UMINO HI , Japan 
Far East & Australia,Jul-19,16/07/2019,16/07/2019, Asalha Puja , Thailand 
