Region,Month,From_date,to_date,Holiday,Country
Americas,Jun-20,22-Jun-20,22-Jun-20,Day of Sacred Heart,COLOMBIA
Americas,Jun-20,29-Jun-20,29-Jun-20,St Peter & St Pauls Day,COLOMBIA
Americas,Jun-20,29-Jun-20,29-Jun-20,St Peter & St Pauls Day,CHILE
Americas,Jun-20,29-Jun-20,29-Jun-20,St Peter & St Pauls Day,PERU
Americas,Jun-20,29-Jun-20,29-Jun-20,St Peter & St Pauls Day,VENEZUELA
Americas,Jun-20,29-Jun-20,29-Jun-20,St Peter & St Pauls Day,CHILE
Americas,Jul-20,01-Jul-20,01-Jul-20,Canada Day,CANADA
Americas,Jul-20,04-Jul-20,04-Jul-20,Independence Day,UNITED STATES OF AMERICA
Americas,Jul-20,05-Jul-20,05-Jul-20,Independence Day,VENEZUELA
Americas,Jul-20,09-Jul-20,09-Jul-20,Independence Day,ARGENTINA
Americas,Jul-20,09-Jul-20,09-Jul-20,State rebellion Day,BRAZIL
Americas,Jul-20,16-Jul-20,16-Jul-20,Our lady of Mt Carmel,CHILE
Americas,Jul-20,18-Jul-20,18-Jul-20,Constitution Day,URUGUAY
Americas,Jul-20,20-Jul-20,20-Jul-20,Independence Day,COLOMBIA
Far East & Australia,Jan-20,04-Jan-20,04-Jan-20,Independence Day,UNION OF MYANMAR
Americas,Aug-20,03-Aug-20,03-Aug-20,August Bank Holiday/Civic Holiday,CANADA
Americas,Aug-20,10-Aug-20,10-Aug-20,Independence Day,ECUADOR
Americas,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,PARAGUAY
Americas,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,CHILE
Americas,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,VENEZUELA
Americas,Aug-20,17-Aug-20,17-Aug-20,St.Martin's Day,ARGENTINA
Americas,Sep-20,07-Sep-20,07-Sep-20,Labour Day,UNITED STATES OF AMERICA
Americas,Sep-20,07-Sep-20,07-Sep-20,Labour Day,CANADA
Americas,Sep-20,07-Sep-20,07-Sep-20,Independence Day,BRAZIL
Americas,Sep-20,16-Sep-20,16-Sep-20,Independence Day,MEXICO
Americas,Sep-20,18-Sep-20,18-Sep-20,Independence Day,CHILE
Americas,Sep-20,19-Sep-20,19-Sep-20,Army Day,CHILE
Americas,Oct-20,09-Oct-20,09-Oct-20,Independence Day of Guayaquil,ECUADOR
Americas,Oct-20,12-Oct-20,12-Oct-20,Columbus Day,UNITED STATES OF AMERICA
Americas,Oct-20,12-Oct-20,12-Oct-20,Thanksgiving Day,CANADA
Americas,Oct-20,12-Oct-20,12-Oct-20,Day of Respect for Cultural Diversity,ARGENTINA
Americas,Oct-20,12-Oct-20,12-Oct-20,Columbus Day,CHILE
Americas,Oct-20,12-Oct-20,12-Oct-20,Columbus Day,COLOMBIA
Americas,Oct-20,12-Oct-20,12-Oct-20,Columbus Day,ARGENTINA
Americas,Oct-20,12-Oct-20,12-Oct-20,Columbus Day,URUGUAY
Americas,Oct-20,12-Oct-20,12-Oct-20,Lady of Aparecida,BRAZIL
Americas,Oct-20,12-Oct-20,12-Oct-20,Race Day,CHILE
Americas,Oct-20,31-Oct-20,31-Oct-20,Reformation Day,CHILE
Americas,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,PERU
Americas,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,CHILE
Americas,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,BRAZIL
Americas,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,COLOMBIA
Americas,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,MEXICO
Americas,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,URUGUAY
Americas,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,UNITED STATES OF AMERICA
Americas,Nov-20,01-Nov-20,02-Nov-20,Day of the dead,MEXICO
Americas,Nov-20,03-Nov-20,03-Nov-20,Independence of Cuenca,ECUADOR
Americas,Nov-20,03-Nov-20,03-Nov-20,Seperation Day,PANAMA
Americas,Nov-20,03-Nov-20,03-Nov-20,Independence Day,PANAMA
Americas,Nov-20,04-Nov-20,04-Nov-20,Flag Day,PANAMA
Americas,Nov-20,05-Nov-20,05-Nov-20,Colon Day,PANAMA
Americas,Nov-20,10-Nov-20,10-Nov-20,Los Santos Uprising Day,PANAMA
Americas,Nov-20,11-Nov-20,11-Nov-20,Remembrance Day,CANADA
Americas,Nov-20,11-Nov-20,11-Nov-20,Veteran's Day,UNITED STATES OF AMERICA
Americas,Nov-20,15-Nov-20,15-Nov-20,Republic day,BRAZIL
Americas,Nov-20,16-Nov-20,16-Nov-20,Revolution Day,MEXICO
Americas,Nov-20,20-Nov-20,20-Nov-20,Black conciousness Day,BRAZIL
Americas,Nov-20,23-Nov-20,23-Nov-20,National Sovereignty Day,ARGENTINA
Americas,Nov-20,26-Nov-20,26-Nov-20,Thanksgiving Day,UNITED STATES OF AMERICA
Americas,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,PANAMA
Americas,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,ARGENTINA
Americas,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,CHILE
Americas,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,COLOMBIA
Americas,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,PERU
Americas,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,VENEZUELA
Americas,Dec-20,12-Dec-20,12-Dec-20,Díadela Virgende Guadalupe,MEXICO
Far East & Australia,Feb-20,12-Feb-20,12-Feb-20,Union Day,UNION OF MYANMAR
Far East & Australia,Mar-20,08-Mar-20,08-Mar-20,Full moon Day of Tabuang,UNION OF MYANMAR
Europe & Russia,Jan-20,01-Jan-20,01-Jan-20,Restoration Day,CZECH REPUBLIC
Europe & Russia,Jan-20,01-Jan-20,02-Jan-20,NY Week & Bank Holiday,RUSSIAN FEDERATION
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,AUSTRIA
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,ARMENIA
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,POLAND
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,ITALY
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,CYPRUS
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,CROATIA
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,FINLAND
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,SWEDEN
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,GREECE
Europe & Russia,Jan-20,06-Jan-20,06-Jan-20,Epiphany,SPAIN
Europe & Russia,Jan-20,07-Jan-20,07-Jan-20,Orthodox/ Coptic Christmas,RUSSIAN FEDERATION
Europe & Russia,Feb-20,23-Feb-20,24-Feb-20,Red Army Day,RUSSIAN FEDERATION
Europe & Russia,Feb-20,25-Feb-20,25-Feb-20,Carnival,PORTUGAL
Europe & Russia,Mar-20,02-Mar-20,02-Mar-20,Ash Monday (Green Monday),GREECE
Europe & Russia,Mar-20,02-Mar-20,02-Mar-20,Ash Monday (Green Monday),CYPRUS
Europe & Russia,Mar-20,15-Mar-20,15-Mar-20,National Day/Revolution day,HUNGARY
Europe & Russia,Mar-20,17-Mar-20,17-Mar-20,St.Patrick's Day,IRELAND
Europe & Russia,Mar-20,19-Mar-20,19-Mar-20,St Joseph's Day,MALTA
Europe & Russia,Mar-20,25-Mar-20,25-Mar-20,Independence Day,GREECE
Europe & Russia,Mar-20,25-Mar-20,25-Mar-20,Independence Day,CYPRUS
Europe & Russia,Mar-20,31-Mar-20,31-Mar-20,Freedom Day,MALTA
Europe & Russia,Apr-20,01-Apr-20,01-Apr-20,National Day,CYPRUS
Far East & Australia,Mar-20,27-Mar-20,27-Mar-20,Armed forces Day,UNION OF MYANMAR
Far East & Australia,Apr-20,13-Apr-20,16-Apr-20,Thingyaan,UNION OF MYANMAR
Far East & Australia,Apr-20,17-Apr-20,20-Apr-20,Burmese New Year,UNION OF MYANMAR
Europe & Russia,Apr-20,23-Apr-20,23-Apr-20,National Sovereignty Day,TURKEY
Europe & Russia,Apr-20,25-Apr-20,25-Apr-20,Freedom Day/Anni of Liberation,PORTUGAL
Europe & Russia,Apr-20,25-Apr-20,25-Apr-20,Freedom Day/Anni of Liberation,ITALY
Europe & Russia,Apr-20,27-Apr-20,27-Apr-20,King's birthday,NETHERLANDS
Europe & Russia,Apr-20,08-May-20,08-May-20,General Prayer Day,DENMARK
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,AUSTRIA
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,BELGIUM
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,CZECH REPUBLIC
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,CROATIA
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,CYPRUS
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,FRANCE
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,GREECE
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,GERMANY
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,POLAND
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,HUNGARY
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,ITALY
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,MALTA
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,NORWAY
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,NETHERLANDS
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,PORTUGAL
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,ROMANIA
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,RUSSIAN FEDERATION
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,SPAIN
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,SWEDEN
Europe & Russia,May-20,01-May-20,01-May-20,Labour Day,TURKEY
Europe & Russia,May-20,01-May-20,01-May-20,Solidarity Day,TURKEY
Europe & Russia,May-20,03-May-20,03-May-20,Constitution Day,POLAND
Europe & Russia,May-20,04-May-20,04-May-20,National Remembrance Day,NETHERLANDS
Europe & Russia,May-20,04-May-20,04-May-20,May Day,IRELAND
Europe & Russia,May-20,05-May-20,05-May-20,Liberation Day,NETHERLANDS
Europe & Russia,May-20,08-May-20,08-May-20,May Bank Holiday,UNITED KINGDOM
Europe & Russia,May-20,08-May-20,08-May-20,V-E Day,FRANCE
Europe & Russia,May-20,08-May-20,08-May-20,Liberation Day,CZECH REPUBLIC
Europe & Russia,May-20,09-May-20,09-May-20,Victory Day,RUSSIAN FEDERATION
Europe & Russia,May-20,17-May-20,17-May-20,Constitution Day,NORWAY
Europe & Russia,May-20,19-May-20,19-May-20,Commemoration of Ataturk,TURKEY
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,AUSTRIA
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,BELGIUM
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,DENMARK
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,FRANCE
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,FINLAND
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,GERMANY
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,NETHERLANDS
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,NORWAY
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,SWEDEN
Europe & Russia,May-20,21-May-20,21-May-20,Ascension Day,SWITZERLAND
Far East & Australia,May-20,01-May-20,01-May-20,Labour Day,UNION OF MYANMAR
Europe & Russia,May-20,25-May-20,25-May-20,Spring Bank Holiday,UNITED KINGDOM
Europe & Russia,May-20,25-May-20,25-May-20,Spring Bank Holiday,IRELAND
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,AUSTRIA
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,BELGIUM
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,GERMANY
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,DENMARK
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,FINLAND
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,FRANCE
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,HUNGARY
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,ITALY
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,NETHERLANDS
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,NORWAY
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,POLAND
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,PORTUGAL
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,ROMANIA
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,RUSSIAN FEDERATION
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,GREECE
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,CYPRUS
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,UKRAINE
Europe & Russia,May-20,31-May-20,01-Jun-20,Whit Sunday/Monday,SWITZERLAND
Europe & Russia,Jun-20,01-Jun-20,01-Jun-20,Bank Holiday,IRELAND
Europe & Russia,Jun-20,02-Jun-20,02-Jun-20,Republic day,ITALY
Europe & Russia,Jun-20,05-Jun-20,05-Jun-20,Constitution Day,DENMARK
Europe & Russia,Jun-20,06-Jun-20,06-Jun-20,National Day,SWEDEN
Europe & Russia,Jun-20,07-Jun-20,07-Jun-20,National Day(SetteGiugno),MALTA
Europe & Russia,Jun-20,08-Jun-20,08-Jun-20,Orthodox Whit Monday,CYPRUS
Europe & Russia,Jun-20,08-Jun-20,08-Jun-20,Orthodox Whit Monday,GREECE
Europe & Russia,Jun-20,10-Jun-20,10-Jun-20,Portugal Day,PORTUGAL
Europe & Russia,Jun-20,11-Jun-20,11-Jun-20,Corpus Christi,AUSTRIA
Europe & Russia,Jun-20,11-Jun-20,11-Jun-20,Corpus Christi,CROATIA
Europe & Russia,Jun-20,11-Jun-20,11-Jun-20,Corpus Christi,GERMANY
Europe & Russia,Jun-20,11-Jun-20,11-Jun-20,Corpus Christi,POLAND
Europe & Russia,Jun-20,11-Jun-20,11-Jun-20,Corpus Christi,PORTUGAL
Europe & Russia,Jun-20,12-Jun-20,12-Jun-20,National Day,RUSSIAN FEDERATION
Europe & Russia,Jun-20,13-Jun-20,13-Jun-20,Feast of St.Anthony,PORTUGAL
Europe & Russia,Jun-20,19-Jun-20,19-Jun-20,Mid summer Day eve,SWEDEN
Europe & Russia,Jun-20,19-Jun-20,19-Jun-20,Mid summer Day eve,FINLAND
Europe & Russia,Jun-20,22-Jun-20,22-Jun-20,Anti Fascist struggle day,CROATIA
Europe & Russia,Jun-20,24-Jun-20,24-Jun-20,Sant Joan,SPAIN
Europe & Russia,Jun-20,25-Jun-20,25-Jun-20,State Holiday,CROATIA
Europe & Russia,Jun-20,29-Jun-20,29-Jun-20,Constitution Day,UKRAINE
Europe & Russia,Jun-20,29-Jun-20,29-Jun-20,St Peter & St Pauls Day,MALTA
Europe & Russia,Jul-20,05-Jul-20,05-Jul-20,St Cyril & Methodius day,CZECH REPUBLIC
Europe & Russia,Jul-20,05-Jul-20,05-Jul-20,St Cyril & Methodius day,SLOVAKIA
Europe & Russia,Jul-20,06-Jul-20,06-Jul-20,Jan Hus Day,CZECH REPUBLIC
Europe & Russia,Jul-20,13-Jul-20,13-Jul-20,Battle of Boyne,IRELAND
Europe & Russia,Jul-20,14-Jul-20,14-Jul-20,Bastille Day,FRANCE
Europe & Russia,Jul-20,21-Jul-20,21-Jul-20,National Day,BELGIUM
Far East & Australia,Nov-20,28-Nov-20,29-Nov-20,Tazuangmone full moon,UNION OF MYANMAR
Europe & Russia,Aug-20,01-Aug-20,01-Aug-20,National Day,SWITZERLAND
Europe & Russia,Aug-20,03-Aug-20,03-Aug-20,August Bank Holiday,IRELAND
Far East & Australia,Dec-20,09-Dec-20,09-Dec-20,National Day,UNION OF MYANMAR
Europe & Russia,Aug-20,05-Aug-20,05-Aug-20,Victory Day,CROATIA
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,AUSTRIA
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,BELGIUM
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,CROATIA
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,FRANCE
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,GERMANY
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,GREECE
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,CYPRUS
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,HUNGARY
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,ITALY
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,MALTA
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,POLAND
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,PORTUGAL
Europe & Russia,Aug-20,15-Aug-20,15-Aug-20,Assumption Day,SPAIN
Europe & Russia,Aug-20,20-Aug-20,20-Aug-20,St.Stephens/National Day,HUNGARY
Europe & Russia,Aug-20,24-Aug-20,24-Aug-20,Independence Day,UKRAINE
Europe & Russia,Aug-20,30-Aug-20,30-Aug-20,Victory Day(ZaferBayrami),TURKEY
Europe & Russia,Aug-20,31-Aug-20,31-Aug-20,Summer Bank Holiday,UNITED KINGDOM
Europe & Russia,Aug-20,31-Aug-20,31-Aug-20,Summer Bank Holiday,IRELAND
Europe & Russia,Sep-20,08-Sep-20,08-Sep-20,Feast of Victories,MALTA
Europe & Russia,Sep-20,11-Sep-20,11-Sep-20,National day of Catalonia,SPAIN
Europe & Russia,Sep-20,21-Sep-20,21-Sep-20,Independence Day,MALTA
Europe & Russia,Sep-20,24-Sep-20,24-Sep-20,La Mercè,SPAIN
Europe & Russia,Sep-20,28-Sep-20,28-Sep-20,St Wenceslas Day,CZECH REPUBLIC
Europe & Russia,Oct-20,01-Oct-20,01-Oct-20,Independence Day,CYPRUS
Europe & Russia,Oct-20,03-Oct-20,03-Oct-20,Unity Day,GERMANY
Europe & Russia,Oct-20,05-Oct-20,05-Oct-20,Republic day,PORTUGAL
Europe & Russia,Oct-20,08-Oct-20,08-Oct-20,Independence Day,CROATIA
Europe & Russia,Oct-20,12-Oct-20,12-Oct-20,Columbus Day/Hispanic day,SPAIN
West - South East Asia,Mar-20,02-Mar-20,02-Mar-20,Peasants Day,UNION OF MYANMAR
Europe & Russia,Oct-20,23-Oct-20,23-Oct-20,Republic day,HUNGARY
Europe & Russia,Oct-20,26-Oct-20,26-Oct-20,National Day,AUSTRIA
Europe & Russia,Oct-20,28-Oct-20,28-Oct-20,Independence Day,CZECH REPUBLIC
Europe & Russia,Oct-20,28-Oct-20,28-Oct-20,Ochi Day,GREECE
Europe & Russia,Oct-20,28-Oct-20,28-Oct-20,Ochi Day,CYPRUS
Europe & Russia,Oct-20,29-Oct-20,29-Oct-20,Republic day,TURKEY
Europe & Russia,Oct-20,31-Oct-20,31-Oct-20,Halloween holiday,IRELAND
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,AUSTRIA
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,BELGIUM
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,CROATIA
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,FRANCE
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,FINLAND
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,SWEDEN
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,GERMANY
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,HUNGARY
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,ITALY
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,POLAND
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,PORTUGAL
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,SPAIN
Europe & Russia,Nov-20,01-Nov-20,02-Nov-20,All Saints/All Souls Day,UNITED KINGDOM
Europe & Russia,Nov-20,04-Nov-20,04-Nov-20,Day of Unity,RUSSIAN FEDERATION
Europe & Russia,Nov-20,08-Nov-20,08-Nov-20,Father's Day,FINLAND
Europe & Russia,Nov-20,11-Nov-20,11-Nov-20,Armistice Day,BELGIUM
Europe & Russia,Nov-20,11-Nov-20,11-Nov-20,Armistice Day,FRANCE
Europe & Russia,Nov-20,11-Nov-20,11-Nov-20,Independence Day,POLAND
Europe & Russia,Nov-20,17-Nov-20,17-Nov-20,Struggle for freedom & Democracy day,CZECH REPUBLIC
Europe & Russia,Nov-20,17-Nov-20,17-Nov-20,Struggle for freedom & Democracy day,SLOVAKIA
West - South East Asia,May-20,06-May-20,06-May-20,Wesak Bucha/Buddha Purnima,UNION OF MYANMAR
Europe & Russia,Nov-20,30-Nov-20,30-Nov-20,St.Andrew's Day,ROMANIA
Europe & Russia,Dec-20,01-Dec-20,01-Dec-20,National Day,ROMANIA
Europe & Russia,Dec-20,01-Dec-20,01-Dec-20,Independence Day,PORTUGAL
Europe & Russia,Dec-20,06-Dec-20,06-Dec-20,Independence Day,FINLAND
Europe & Russia,Dec-20,06-Dec-20,06-Dec-20,Constitution Day,SPAIN
Europe & Russia,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,AUSTRIA
Europe & Russia,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,ITALY
Europe & Russia,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,PORTUGAL
Europe & Russia,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,SPAIN
Europe & Russia,Dec-20,08-Dec-20,08-Dec-20,Immaculate Conception,MALTA
Europe & Russia,Dec-20,13-Dec-20,13-Dec-20,Republic day,MALTA
West - South East Asia,Jul-20,04-Jul-20,04-Jul-20,Esala/Waso full moon poya,UNION OF MYANMAR
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,AUSTRIA
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,CROATIA
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,CZECH REPUBLIC
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,DENMARK
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,FRANCE
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,GERMANY
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,FINLAND
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,HUNGARY
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,IRELAND
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,ITALY
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,NORWAY
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,NETHERLANDS
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,POLAND
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,St Stephen's Day,SPAIN
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,Synaxis of Mother of God,GREECE
Europe & Russia,Dec-20,26-Dec-20,26-Dec-20,Synaxis of Mother of God,CYPRUS
West - South East Asia,Jul-20,19-Jul-20,19-Jul-20,Martyr's Day(Arzami Day),UNION OF MYANMAR
Far East & Australia,Jan-20,01-Jan-20,01-Jan-20,New Year,PHILIPPINES
West - South East Asia,Oct-20,01-Oct-20,01-Oct-20,Vap/Thadingyut full moon poya,UNION OF MYANMAR
Far East & Australia,Jan-20,13-Jan-20,13-Jan-20,Coming of Age(SEIJIN-NO-HI),JAPAN
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,CHINA
Europe & Russia,Aug-21,02-Aug-21,02-Aug-21,Summer Bank Holiday,SCOTLAND
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,MALAYSIA
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,SINGAPORE
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,SOUTH KOREA
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,INDONESIA
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,PHILIPPINES
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,TAIWAN
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Tet/Chinese New Year,VIETNAM
Far East & Australia,Jan-20,25-Jan-20,31-Jan-20,Chinese New Year,THAILAND
Far East & Australia,Jan-20,26-Jan-20,27-Jan-20,Australia Day,AUSTRALIA
Far East & Australia,Feb-20,06-Feb-20,06-Feb-20,Waitangi Day,NEW ZEALAND
Far East & Australia,Feb-20,08-Feb-20,08-Feb-20,Thaipoosam,MALAYSIA
Far East & Australia,Feb-20,08-Feb-20,08-Feb-20,Magha Bucha (Meak Bochea),CAMBODIA
Far East & Australia,Feb-20,09-Feb-20,10-Feb-20,Magha Bucha,THAILAND
Far East & Australia,Feb-20,11-Feb-20,11-Feb-20,National Foundation Day(KENKOKUKINENBI),JAPAN
Europe & Russia,Nov-21,30-Nov-21,30-Nov-21,St.Andrew's Day,SCOTLAND
Far East & Australia,Feb-20,23-Feb-20,23-Feb-20,Emperor's Birthday,JAPAN
Far East & Australia,Feb-20,25-Feb-20,25-Feb-20,People Power Day,PHILIPPINES
Far East & Australia,Feb-20,28-Feb-20,28-Feb-20,Peace Memorial Day,TAIWAN
Far East & Australia,Mar-20,01-Mar-20,01-Mar-20,Mar 1st Movement,SOUTH KOREA
Far East & Australia,Jan-21,04-Jan-21,04-Jan-21,Independence Day,UNION OF MYANMAR
Far East & Australia,Mar-20,08-Mar-20,08-Mar-20,International Womens Day,CAMBODIA
Far East & Australia,Feb-21,12-Feb-21,12-Feb-21,Union Day,UNION OF MYANMAR
Far East & Australia,Mar-20,09-Mar-20,09-Mar-20,Canberra day/Adelaide Cup Day,AUSTRALIA
Far East & Australia,Mar-20,20-Mar-20,20-Mar-20,Spring Equinox,JAPAN
Far East & Australia,Mar-20,22-Mar-20,22-Mar-20,Isra Al Mairaj,MALAYSIA
Far East & Australia,Mar-20,25-Mar-20,26-Mar-20,Day of Silence(Hari Raya Nyepi),INDONESIA
Far East & Australia,Mar-21,27-Mar-21,27-Mar-21,Armed forces Day,UNION OF MYANMAR
Far East & Australia,Mar-20,31-Mar-20,02-Apr-20,Hung King's Temple Festival,VIETNAM
Far East & Australia,Apr-20,04-Apr-20,05-Apr-20,Qing Ming Festival,CHINA
