Region,Month,From_date,to_date,Holiday,Country
Europe & Russia,Jun-19,28/06/2019,28/06/2019, Constitution Day ,UKRAINE
Europe & Russia,Jun-19,29/06/2019,29/06/2019, St Peter & St Pauls Day ,MALTA
Far East & Australia,Jun-19,03/06/2019,03/06/2019, Queen's birthday ,NEW ZEALAND
Far East & Australia,Jun-19,06/06/2019,06/06/2019, Memorial Day ,SOUTH KOREA
UAE,May-20,23-May-20,24-May-20,Eid al Fitr,ALL
Far East & Australia,Jun-19,12/06/2019,12/06/2019, Independence Day ,PHILIPPINES
Far East & Australia,Jun-19,18/06/2019,18/06/2019, King's mother's birthday ,CAMBODIA
West -  South East Asia & Iran,Jun-19,04/06/2019,04/06/2019, Demise of Imam Khomeini ,IRAN
West -  South East Asia & Iran,Jun-19,05/06/2019,05/06/2019, Khordad national uprising ,IRAN
West -  South East Asia & Iran,Jun-19,16/06/2019,16/06/2019, Poson full moon poya ,SRI LANKA
West -  South East Asia & Iran,Jun-19,29/06/2019,29/06/2019, Martyrdom of Imam Sadeq ,IRAN
Africa,Jul-19,01/07/2019,01/07/2019, Republic day ,GHANA
Africa,Jul-19,01/07/2019,01/07/2019, Heroes Day ,ZAMBIA
Africa,Jul-19,02/07/2019,02/07/2019, Unity Day ,ZAMBIA
Africa,Jul-19,05/07/2019,05/07/2019, Independence Day ,ALGERIA
Africa,Jul-19,07/07/2019,07/07/2019, Saba Saba Day ,TANZANIA
Africa,Jul-19,23/07/2019,23/07/2019, Revolution Day ,EGYPT
Africa,Jul-19,25/07/2019,25/07/2019, Republic day ,TUNISIA
Africa,Jul-19,30/07/2019,30/07/2019, Enthronement Day ,MOROCCO
UAE,Jul-20,30-Jul-20,02-Aug-20,Eid al Adha,ALL
UAE,Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Americas,Jul-19,01/07/2019,01/07/2019, Canada Day ,CANADA
Americas,Jul-19,04/07/2019,04/07/2019, Independence Day ,UNITED STATES OF AMERICA
Americas,Jul-19,05/07/2019,05/07/2019, Independence Day ,VENEZUELA
Americas,Jul-19,09/07/2019,09/07/2019, Independence Day ,ARGENTINA
Americas,Jul-19,09/07/2019,09/07/2019, State rebellion Day ,BRAZIL
Americas,Jul-19,16/07/2019,16/07/2019, Our lady of Mt Carmel ,CHILE
Americas,Jul-19,18/07/2019,18/07/2019, Constitution Day ,URUGUAY
West - South East Asia,Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
West - South East Asia,Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
Europe & Russia,Jul-19,06/07/2019,06/07/2019, Jan Hus Day ,CZECH REPUBLIC
Europe & Russia,Jul-19,12/07/2019,12/07/2019, Battle of Boyne ,IRELAND
Europe & Russia,Jul-19,14/07/2019,14/07/2019, Bastille Day ,FRANCE
Europe & Russia,Jul-19,21/07/2019,21/07/2019, National Day ,BELGIUM
